ano,uf_codigo,internacoes_por_lesao,com_causa_externa,pct_preenchido
2018,27,16324,15317,0.9383116883116883
2018,28,7790,7677,0.9854942233632863
2018,29,76605,71206,0.9295215716989753
2018,31,128190,123464,0.9631328496762618
2018,32,25631,23129,0.9023838320783426
2018,33,72181,67781,0.9390421302004682
2018,35,233893,230257,0.9844544300171446
2018,41,94297,90811,0.9630316977210304
2018,42,50415,49323,0.9783397798274324
2018,43,61107,56964,0.9322008935146546
2018,50,20042,19372,0.9665702025745934
2018,51,26459,25198,0.9523413583279792
2018,52,49774,46058,0.9253425483183991
2018,53,14405,14248,0.9891010065949323
2019,11,15576,15193,0.9754108885464817
2019,12,4061,3801,0.9359763605023393
2019,13,15130,14388,0.9509583608724389
2019,14,3790,3680,0.9709762532981531
2019,15,55361,49252,0.8896515597622875
2019,16,2368,2065,0.872043918918919
2019,17,11431,9989,0.8738518064911206
2019,21,40987,36851,0.8990899553516969
2019,22,23845,22578,0.9468651708953659
2019,23,48687,47759,0.980939470495204
2019,24,20163,19218,0.9531319744085701
2019,25,15414,15122,0.9810561826910601
2019,26,56167,55414,0.9865935513735824
2019,27,15408,14228,0.9234164070612668
2019,28,7805,7175,0.9192825112107623
2019,29,81282,73863,0.9087251790064221
2019,31,134548,127088,0.9445551030115646
2019,32,26112,23494,0.8997395833333334
2019,33,76688,71185,0.9282417066555393
2019,35,243699,236918,0.9721746909096878
2019,41,95884,91975,0.9592319886529557
2019,42,53218,51373,0.9653312788906009
2019,43,63120,58879,0.9328105196451204
2019,50,22251,20926,0.9404521145117073
2019,51,28432,26658,0.9376055149127743
2019,52,52474,49483,0.943000343027023
2019,53,16084,15866,0.9864461576722209
2020,11,15067,14492,0.9618371274971793
2020,12,4609,4101,0.8897808635278802
2020,13,13333,12658,0.9493737343433586
2020,14,3613,3525,0.9756435095488514
2020,15,54305,48103,0.8857932050455759
2020,16,1907,1631,0.8552700576822234
2020,17,12090,10717,0.8864350703060381
2020,21,37407,33518,0.8960355013767477
2020,22,19338,17640,0.9121936084393423
2020,23,45775,43679,0.954210813762971
2020,24,19977,18906,0.9463883465985884
2020,25,14172,13683,0.9654953429297206
2020,26,50696,49601,0.9784006627741834
2020,27,15790,14593,0.9241925269157695
2020,28,7441,6682,0.8979975809702997
2020,29,80772,73372,0.9083840934977467
2020,31,129298,120531,0.9321953935869077
2020,32,26458,24400,0.92221634288306
2020,33,72930,66967,0.9182366652954889
2020,35,227936,219662,0.963700336936684
2020,41,92565,87793,0.9484470372170907
2020,42,49888,47967,0.9614937459910199
2020,43,63788,59173,0.9276509688342635
2020,50,20117,18494,0.9193219664959984
2020,51,23080,20540,0.889948006932409
2020,52,48080,44131,0.9178660565723794
2020,53,16005,15842,0.9898156825991877
2021,11,16220,15504,0.9558569667077682
2021,12,4194,3799,0.9058178350023843
2021,13,15742,14690,0.933172405031127
2021,14,2436,2334,0.958128078817734
2021,15,58771,50408,0.8577019278215446
2021,16,1927,1399,0.7259989621172808
2021,17,12730,10893,0.8556952081696779
2021,21,40645,35828,0.8814860376430065
2021,22,23099,21276,0.9210788345815836
2021,23,52288,49223,0.9413823439412484
2021,24,18956,18147,0.9573222198776113
2021,25,16777,16475,0.9819991655242296
2021,26,54005,51703,0.9573743171928525
2021,27,16343,14379,0.8798262252952335
2021,28,8628,7818,0.9061196105702365
2021,29,85630,77866,0.9093308419946281
2021,31,136045,126365,0.9288470726597817
2021,32,30992,28201,0.9099445018069179
2021,33,80715,73423,0.9096574366598525
2021,35,233826,223496,0.9558218504357942
2021,41,91561,86558,0.9453588318170401
2021,42,53170,50267,0.9454015422230582
2021,43,63260,59017,0.9329276003793867
2021,50,20523,18634,0.9079569263752862
2021,51,25041,21766,0.8692144882392876
2021,52,47387,43055,0.9085825226327896
2021,53,16516,16173,0.9792322596270283
2022,11,14352,13148,0.9161092530657748
2022,12,3902,3549,0.9095335725269093
2022,13,17395,15852,0.9112963495257258
2022,14,3115,3028,0.9720706260032103
2022,15,64321,53947,0.8387151941045693
2022,16,2306,1774,0.769297484822203
2022,17,12628,10347,0.8193696547355084
2022,21,45062,38531,0.8550663530247214
2022,22,24424,22296,0.9128725843432689
2022,23,53084,47872,0.901815989752091
2022,24,20886,20063,0.9605956142870823
2022,25,16667,16136,0.9681406371872563
2022,26,58618,55573,0.9480534989252448
2022,27,17311,15314,0.8846398243891167
2022,28,9350,8406,0.8990374331550802
2022,29,90623,79948,0.8822042969224149
2022,31,146591,135031,0.9211411341760408
2022,32,30151,25966,0.8611986335444928
2022,33,84928,77101,0.9078395817633761
2022,35,247777,232437,0.9380894917607364
2022,41,104572,97659,0.9338924377462419
2022,42,58607,55217,0.9421570802122613
2022,43,69670,65059,0.933816563800775
2022,50,23971,21651,0.9032163864669809
2022,51,31232,27408,0.8775614754098361
2022,52,56584,52151,0.9216562986003111
2022,53,17725,17180,0.9692524682651622
